scenario_name,daily_users,content_calc_creator_usd,content_calc_total_usd,content_calc_creator_vcoin,v4_creator_monthly_usd,v4_monthly_investment,v4_creator_share,v4_active_creators,v4_price_appreciation,engagement_multiplier,reward_multiplier,v4_vs_content_ratio
Small Platform Startup,5000,0.021369600000000002,0.053424000000000006,2.13696,0.37440000000000007,46.800000000000004,18.720000000000002,50,150.0,1.06,0.6324555320336759,0.5840071877807727
Growing Community Platform,25000,3.1833505460604763,7.9583763651511905,31.833505460604762,1.17,731.25,292.5,250,150.0,1.1,0.6324555320336759,0.01225124265634649
Mid-Scale Social Platform,100000,130.15442455257002,325.38606138142507,260.30884910514004,4.68,11700.0,4680.0,1000,150.0,1.16,0.6324555320336759,0.0011985762338566587
Large Content Platform,500000,1043.6608000000003,2609.1520000000005,1043.6608000000003,8.19,102375.0,40950.0,5000,150.0,1.12,0.6324555320336759,0.00026157924107142846
YouTube-Scale Platform,2000000,9470.046705520363,23675.116763800906,4735.023352760181,14.976,748800.0,299520.0,20000,150.0,1.08,0.6324555320336759,5.2713573176888556e-05
High Engagement Niche,50000,25.27083182438011,63.177079560950276,101.08332729752044,5.616,7020.0,2808.0,500,200.0,1.3,0.5773502691896258,0.007407749824024321
Bootstrap Mode Platform,15000,0.0,0.0,0.0,0.7488,280.8,112.32000000000001,150,199.99999999999994,1.1400000000000001,0.5773502691896258,
Premium Content Platform,75000,4538.160112226813,11345.400280567032,907.6320224453626,13.4784,25272.0,10108.800000000001,750,150.0,1.24,0.6324555320336759,9.900047351558614e-05
Viral Content Platform,300000,2162.16,5405.4,2882.88,26.25,196875.0,78750.0,3000,100.0,1.04,0.7071067811865475,0.0004046879046879047
Mature Ecosystem,1000000,1216.5527452351562,3041.3818630878905,405.51758174505204,18.72,468000.0,187200.0,10000,150.0,1.1,0.6324555320336759,0.0005129247395511673
